ANO_ESCOLAR,CODIGO_ESCUELA,region,municipio,escuela,escuela_receptora,nivel,consolidada,matricula,matricula_2016-17,cambio_matricula,promedio_espanol,promedio_matematica,promedio_ingles,promedio_ciencias
2017-18,15784,ARECIBO,ARECIBO,Abelardo Martinez Otero,0,superior,0,464,373,0.24,65.5,12.1,80.2,67
2017-18,74807,ARECIBO,VEGA BAJA,Agapito Rosario Rosario,0,elemental,0,473,531,-0.11,57.8,65.3,67.3,77.1
2017-18,17467,ARECIBO,CAMUY,Amalia Lopez de Avila (Nueva),0,elemental,0,332,148,1.24,70.4,76.7,76.1,90.4
2017-18,71886,ARECIBO,VEGA BAJA,Angel Sandin Martinez,0,intermedia,0,473,531,-0.11,57.8,65.3,67.3,77.1
2017-18,10637,ARECIBO,ARECIBO,Angelica Gomez de Betancourt,0,interlocking,0,214,223,-0.04,31.9,23.5,24.4,51.2
2017-18,17772,ARECIBO,HATILLO,Anibal Reyes Belen,0,superior,0,741,727,0.02,48.7,9,55.6,64.9
2017-18,71738,ARECIBO,VEGA ALTA,Antonio Paoli,0,elemental,0,294,255,0.15,36.6,53.2,20.9,44.1
2017-18,11023,ARECIBO,CAMUY,Antonio Reyes,0,intermedia,0,428,447,-0.04,42.6,18.7,45.8,60.7
2017-18,12187,ARECIBO,MANATI,Antonio Velez Alvarado,0,elemental,0,163,167,-0.02,70.4,87,70.4,85.7
2017-18,71761,ARECIBO,VEGA ALTA,Apolo San Antonio,0,intermedia,0,636,493,0.29,24.7,2.7,19.5,20.8
2017-18,11411,ARECIBO,HATILLO,Carmen Noelia Peraza Toledo,0,elemental,0,267,275,-0.03,87,87.8,85.4,88.6
2017-18,73494,ARECIBO,VEGA BAJA,Centro de Adiestramiento,0,especializada,0,144,150,-0.04,NA,NA,NA,NA
2017-18,12153,ARECIBO,MANATI,Clemente Ramirez de Arellano,0,elemental,1,268,285,-0.06,88,95,85,91
2017-18,11262,ARECIBO,CIALES,Concepcion Perez Hernandez,0,elemental,1,123,88,0.40,53,81,86,100
2017-18,10173,ARECIBO,ARECIBO,Cotto (Anexo),0,especializada,0,22,26,-0.15,0,57.1,57.1,60
2017-18,76562,ARECIBO,DORADO,Cristobal Santana Melecio (Nueva),0,elemental,0,148,198,-0.25,45.6,54.4,31.6,47.4
2017-18,11165,ARECIBO,CIALES,Cristobal Vicens,0,elemental,1,77,94,-0.18,57,65,45,63
2017-18,12237,ARECIBO,MANATI,Cruz Rosa Rivas,0,elemental,1,313,269,0.16,74,88,69,96
2017-18,17673,ARECIBO,LARES,Daniel Velez Soto,0,elemental,0,448,396,0.13,52.7,57.7,44,65.6
2017-18,10207,ARECIBO,ARECIBO,Dolores Gomez de Roman,0,elemental,1,180,232,-0.22,58,60,56,96
2017-18,11643,ARECIBO,LARES,Domingo Aponte Collazo,0,superior,0,923,772,0.20,55.1,7.1,40.4,56
2017-18,10439,ARECIBO,ARECIBO,Dr. Cayetano Coll y Toste,0,interlocking,0,490,558,-0.12,94.7,96.6,96.3,99.1
2017-18,10082,ARECIBO,ARECIBO,Dr. Francisco Susoni,0,elemental,1,224,291,-0.23,89,96,92,97
2017-18,10835,ARECIBO,BARCELONETA,Dr. Francisco Vazquez,0,intermedia,1,304,288,0.06,27,1,17,26
2017-18,12872,ARECIBO,QUEBRADILLAS,Dr. Pedro Albizu Campos,0,intermedia,0,230,243,-0.05,24.7,0.5,25.2,15.2
2017-18,10686,ARECIBO,ARECIBO,Easton,0,elemental,1,166,152,0.09,61,53,43,67
2017-18,15024,ARECIBO,ARECIBO,Elba Lugo Carrion,0,elemental,0,345,341,0.01,77.8,67.2,81,97.4
2017-18,18259,ARECIBO,DORADO,Elem Bo Higuillar (Ecologica),0,elemental,0,286,324,-0.12,67.7,59.1,48.8,43.9
2017-18,71175,ARECIBO,DORADO,Elem Alfonso Lopez Garcia,0,elemental,1,131,170,-0.23,57,53,53,33
2017-18,71720,ARECIBO,VEGA ALTA,Elem Urbana,0,elemental,0,211,206,0.02,35.1,41.1,23.2,28.6
2017-18,18176,ARECIBO,BARCELONETA,Eli Ramos Rosario,0,elemental,0,335,397,-0.16,58.3,64.7,60.9,74.4
2017-18,71795,ARECIBO,VEGA ALTA,Elisa Davila Vazquez,0,elemental,0,183,185,-0.01,49.5,59.3,68.1,73.7
2017-18,71167,ARECIBO,DORADO,Espinosa Kuilan,0,elemental,1,93,183,-0.49,64,76,36,42
2017-18,10272,ARECIBO,ARECIBO,Eugenio Maria de Hostos,0,elemental,0,248,273,-0.09,40.8,22.4,29.1,61
2017-18,11403,ARECIBO,HATILLO,Eugenio Maria de Hostos,0,elemental,0,194,246,-0.21,58.9,70.5,53.7,69
2017-18,12138,ARECIBO,MANATI,Evaristo Camacho,0,elemental,0,134,149,-0.10,57.3,49.3,24,45.8
2017-18,17780,ARECIBO,ARECIBO,Factor 5,0,elemental,0,398,480,-0.17,75.6,82.4,45.5,89.1
2017-18,12070,ARECIBO,MANATI,Felix Cordova Davila,0,elemental,0,305,284,0.07,86.5,81.3,84.8,84.8
2017-18,10017,ARECIBO,ARECIBO,Felix Rosario Rios,0,interlocking,1,317,264,0.20,53,38,72,55
2017-18,12088,ARECIBO,MANATI,Fernando Callejo,0,superior,0,607,518,0.17,27.6,1.9,23.5,29.8
2017-18,10702,ARECIBO,BARCELONETA,Fernando Suria Chavez,0,superior,0,619,686,-0.10,28.4,2.3,35.8,42.4
2017-18,12062,ARECIBO,MANATI,Francisco Menendez Balbañe,0,elemental,0,135,134,0.01,27.3,36.4,39.4,57.9
2017-18,14787,ARECIBO,ARECIBO,Francisco Pachin Marin,0,elemental,0,345,421,-0.18,81.2,77.3,82.5,98
2017-18,11593,ARECIBO,LARES,Gabriela Mistral,0,interlocking,0,169,204,-0.17,41,27.9,49.2,80
2017-18,12005,ARECIBO,LARES,George Washington,0,elemental,0,177,166,0.07,80.7,86.7,83.1,100
2017-18,11239,ARECIBO,CIALES,Hato Viejo Cumbre,0,elemental,0,119,134,-0.11,47,51.5,25.8,100
2017-18,18226,ARECIBO,LARES,Hector Hernandez Arana,0,elemental,0,396,325,0.22,79.6,91.3,84.2,95.7
2017-18,71753,ARECIBO,VEGA ALTA,Ignacio Miranda,0,elemental,0,329,282,0.17,91.8,94.6,95.2,63.5
2017-18,79038,ARECIBO,VEGA ALTA,Ileana de Gracia (Superior Nueva),0,superior,0,499,529,-0.06,26.8,2.2,30.1,38.2
2017-18,10744,ARECIBO,BARCELONETA,Imbery,0,elemental,0,290,271,0.07,70.7,83.6,70.2,75.7
2017-18,71076,ARECIBO,DORADO,Jacinto Lopez Martinez,0,elemental,0,315,393,-0.20,54.5,55.8,55.2,65.7
2017-18,17889,ARECIBO,CIALES,Jaime Coira Ortiz,0,interlocking,0,175,187,-0.06,60.4,51.4,71.2,81
2017-18,12096,ARECIBO,MANATI,Jesus T Piñero,0,intermedia,0,301,355,-0.15,23.2,1.7,25.2,28.6
2017-18,11478,ARECIBO,HATILLO,Joaquin Rodriguez Ruiz,0,elemental,1,187,253,-0.26,85,85,81,77
2017-18,10355,ARECIBO,ARECIBO,John W Harris,0,elemental,0,213,260,-0.18,68.5,67.3,62.3,91.7
2017-18,10728,ARECIBO,MANATI,Jose Cordero Rosario,0,elemental,1,204,206,-0.01,54,54,38,50
2017-18,71787,ARECIBO,VEGA ALTA,Jose D Rosado,0,elemental,1,230,199,0.16,62,53,38,58
2017-18,15768,ARECIBO,HATILLO,Jose Gautier Benitez,0,elemental,1,241,266,-0.09,88,97,85,92
2017-18,10348,ARECIBO,ARECIBO,Jose Gualberto Padilla,0,intermedia,1,152,173,-0.12,28,2,26,39
2017-18,71860,ARECIBO,VEGA BAJA,Jose Gualberto Padilla,0,elemental,1,242,221,0.10,41,41,15,50
2017-18,18267,ARECIBO,VEGA ALTA,Jose Pagan de Jesus,0,interlocking,0,484,446,0.09,35,21.8,37,32.3
2017-18,71092,ARECIBO,DORADO,Jose Santos Alegria,0,superior,0,882,742,0.19,28.6,1.8,34.5,30.9
2017-18,11940,ARECIBO,LARES,Josefina Linares,0,interlocking,0,388,334,0.16,39.6,18.7,23.1,52.2
2017-18,17319,ARECIBO,CIALES,Juan A Corretjer,0,superior,0,618,554,0.12,42.8,13,51.1,54.7
2017-18,14779,ARECIBO,MANATI,Juan A Sanchez Davila,0,elemental,0,204,253,-0.19,26.6,42.6,9.7,67.7
2017-18,12930,ARECIBO,QUEBRADILLAS,Juan Alejo Arizmendi,0,superior,0,383,382,0.00,38.3,5,35,39
2017-18,10827,ARECIBO,FLORIDA,Juan Ponce de Leon Li,0,superior,0,608,522,0.16,44.7,62,49.3,64.7
2017-18,75267,ARECIBO,VEGA BAJA,Juan Quirindongo Morell,0,superior,0,692,704,-0.02,46.7,7.4,46.3,45
2017-18,10710,ARECIBO,FLORIDA,Juanita Ramirez Gonzalez,0,elemental,0,448,429,0.04,28.6,43.1,26.9,33.8
2017-18,11908,ARECIBO,LARES,Julio Lebron Soto,0,elemental,0,235,255,-0.08,63.6,52.1,61.2,85.7
2017-18,10314,ARECIBO,ARECIBO,Julio Seijo,0,elemental,0,225,257,-0.12,58.6,54.8,47,66.7
2017-18,71779,ARECIBO,VEGA ALTA,Ladislao Martinez,0,superior,0,619,512,0.21,29,0.8,35.9,54.3
2017-18,10959,ARECIBO,CAMUY,Laurentino Estrella Colon,0,elemental,1,182,193,-0.06,46,55,65,65
