ANO_ESCOLAR,CODIGO_ESCUELA,region,municipio,escuela,escuela_receptora,nivel,consolidada,matricula,matricula_2016-17,cambio_matricula,promedio_espanol,promedio_matematica,promedio_ingles,promedio_ciencias
2017-18,15784,ARECIBO,ARECIBO,Abelardo Martinez Otero,0.00,superior,0.00,464.00,373.00,0.24,65.50,12.10,80.20,67.00
2017-18,74807,ARECIBO,VEGA BAJA,Agapito Rosario Rosario,0.00,elemental,0.00,473.00,531.00,-0.11,57.80,65.30,67.30,77.10
2017-18,17467,ARECIBO,CAMUY,Amalia Lopez de Avila (Nueva),0.00,elemental,0.00,332.00,148.00,1.24,70.40,76.70,76.10,90.40
2017-18,71886,ARECIBO,VEGA BAJA,Angel Sandin Martinez,0.00,intermedia,0.00,473.00,531.00,-0.11,57.80,65.30,67.30,77.10
2017-18,10637,ARECIBO,ARECIBO,Angelica Gomez de Betancourt,0.00,interlocking,0.00,214.00,223.00,-0.04,31.90,23.50,24.40,51.20
2017-18,17772,ARECIBO,HATILLO,Anibal Reyes Belen,0.00,superior,0.00,741.00,727.00,0.02,48.70,9.00,55.60,64.90
2017-18,71738,ARECIBO,VEGA ALTA,Antonio Paoli,0.00,elemental,0.00,294.00,255.00,0.15,36.60,53.20,20.90,44.10
2017-18,11023,ARECIBO,CAMUY,Antonio Reyes,0.00,intermedia,0.00,428.00,447.00,-0.04,42.60,18.70,45.80,60.70
2017-18,12187,ARECIBO,MANATI,Antonio Velez Alvarado,0.00,elemental,0.00,163.00,167.00,-0.02,70.40,87.00,70.40,85.70
2017-18,71761,ARECIBO,VEGA ALTA,Apolo San Antonio,0.00,intermedia,0.00,636.00,493.00,0.29,24.70,2.70,19.50,20.80
2017-18,11411,ARECIBO,HATILLO,Carmen Noelia Peraza Toledo,0.00,elemental,0.00,267.00,275.00,-0.03,87.00,87.80,85.40,88.60
2017-18,73494,ARECIBO,VEGA BAJA,Centro de Adiestramiento,0.00,especializada,0.00,144.00,150.00,-0.04, , , , 
2017-18,12153,ARECIBO,MANATI,Clemente Ramirez de Arellano,0.00,elemental,1.00,268.00,285.00,-0.06,88.00,95.00,85.00,91.00
2017-18,11262,ARECIBO,CIALES,Concepcion Perez Hernandez,0.00,elemental,1.00,123.00,88.00,0.40,53.00,81.00,86.00,100.00
2017-18,10173,ARECIBO,ARECIBO,Cotto (Anexo),0.00,especializada,0.00,22.00,26.00,-0.15,0.00,57.10,57.10,60.00
2017-18,76562,ARECIBO,DORADO,Cristobal Santana Melecio (Nueva),0.00,elemental,0.00,148.00,198.00,-0.25,45.60,54.40,31.60,47.40
2017-18,11165,ARECIBO,CIALES,Cristobal Vicens,0.00,elemental,1.00,77.00,94.00,-0.18,57.00,65.00,45.00,63.00
2017-18,12237,ARECIBO,MANATI,Cruz Rosa Rivas,0.00,elemental,1.00,313.00,269.00,0.16,74.00,88.00,69.00,96.00
2017-18,17673,ARECIBO,LARES,Daniel Velez Soto,0.00,elemental,0.00,448.00,396.00,0.13,52.70,57.70,44.00,65.60
2017-18,10207,ARECIBO,ARECIBO,Dolores Gomez de Roman,0.00,elemental,1.00,180.00,232.00,-0.22,58.00,60.00,56.00,96.00
2017-18,11643,ARECIBO,LARES,Domingo Aponte Collazo,0.00,superior,0.00,923.00,772.00,0.20,55.10,7.10,40.40,56.00
2017-18,10439,ARECIBO,ARECIBO,Dr. Cayetano Coll y Toste,0.00,interlocking,0.00,490.00,558.00,-0.12,94.70,96.60,96.30,99.10
2017-18,10082,ARECIBO,ARECIBO,Dr. Francisco Susoni,0.00,elemental,1.00,224.00,291.00,-0.23,89.00,96.00,92.00,97.00
2017-18,10835,ARECIBO,BARCELONETA,Dr. Francisco Vazquez,0.00,intermedia,1.00,304.00,288.00,0.06,27.00,1.00,17.00,26.00
2017-18,12872,ARECIBO,QUEBRADILLAS,Dr. Pedro Albizu Campos,0.00,intermedia,0.00,230.00,243.00,-0.05,24.70,0.50,25.20,15.20
2017-18,10686,ARECIBO,ARECIBO,Easton,0.00,elemental,1.00,166.00,152.00,0.09,61.00,53.00,43.00,67.00
2017-18,15024,ARECIBO,ARECIBO,Elba Lugo Carrion,0.00,elemental,0.00,345.00,341.00,0.01,77.80,67.20,81.00,97.40
2017-18,18259,ARECIBO,DORADO,Elem Bo Higuillar (Ecologica),0.00,elemental,0.00,286.00,324.00,-0.12,67.70,59.10,48.80,43.90
2017-18,71175,ARECIBO,DORADO,Elem Alfonso Lopez Garcia,0.00,elemental,1.00,131.00,170.00,-0.23,57.00,53.00,53.00,33.00
2017-18,71720,ARECIBO,VEGA ALTA,Elem Urbana,0.00,elemental,0.00,211.00,206.00,0.02,35.10,41.10,23.20,28.60
2017-18,18176,ARECIBO,BARCELONETA,Eli Ramos Rosario,0.00,elemental,0.00,335.00,397.00,-0.16,58.30,64.70,60.90,74.40
2017-18,71795,ARECIBO,VEGA ALTA,Elisa Davila Vazquez,0.00,elemental,0.00,183.00,185.00,-0.01,49.50,59.30,68.10,73.70
2017-18,71167,ARECIBO,DORADO,Espinosa Kuilan,0.00,elemental,1.00,93.00,183.00,-0.49,64.00,76.00,36.00,42.00
2017-18,10272,ARECIBO,ARECIBO,Eugenio Maria de Hostos,0.00,elemental,0.00,248.00,273.00,-0.09,40.80,22.40,29.10,61.00
2017-18,11403,ARECIBO,HATILLO,Eugenio Maria de Hostos,0.00,elemental,0.00,194.00,246.00,-0.21,58.90,70.50,53.70,69.00
2017-18,12138,ARECIBO,MANATI,Evaristo Camacho,0.00,elemental,0.00,134.00,149.00,-0.10,57.30,49.30,24.00,45.80
2017-18,17780,ARECIBO,ARECIBO,Factor 5,0.00,elemental,0.00,398.00,480.00,-0.17,75.60,82.40,45.50,89.10
2017-18,12070,ARECIBO,MANATI,Felix Cordova Davila,0.00,elemental,0.00,305.00,284.00,0.07,86.50,81.30,84.80,84.80
2017-18,10017,ARECIBO,ARECIBO,Felix Rosario Rios,0.00,interlocking,1.00,317.00,264.00,0.20,53.00,38.00,72.00,55.00
